floyd | a new game begins with 9 players composed of 2 werewolves, 1 seer, 1
floyd | wolfsbane carrier, 1 devil, and 4 villagers.  now it is night; time
floyd | for the werewolves to kill, the seer to identify, the wolfsbane
floyd | carrier to protect, the devil to identify and the rest to sleep.
storme says, "yup"
marvin says, "oh, nifty. you hadn't started."
maga_dogg says, "we were waiting for you"
marvin says, "thanks."
floyd | brenbarn, a villager, wakes missing a few vital organs.
floyd | it is now day. time to vote on whom to lynch.
jwalrus says, "aww"
gunther says, "merf"
maga_dogg says, "poor bren"
brenbarn says, "garghh"
jwalrus says, "well, i'm a villager"
iain says, "sheesh, and they even left him just barely alive."
iain says, "those wolves are bastard."
iain says, "s"
gunther says (to jwalrus), "that's what they all say"
jwalrus says (to gunther), "true. but i'm not a seer or baner or any of them wacky things neither"
miseri asks, "so whodunnit?"
gunther says, "oh, right, them"
iain says (to jwalrus), "if you were the seer or baner, you'd hardly say so."
gunther says, "hmm, no fool"
iain says, "so, hmm."
maga_dogg says (to jwalrus), "but it'd probably be dumb to admit to that this early"
maga_dogg says, "...what iain said."
jwalrus says, "of course it would"
jwalrus says, "but i could have done what the rest of you have done and said nothing about my identity at all"
maga_dogg says, "so... at this stage it's just a popularity contest, then..."
maga_dogg says, "ah well, why delay the inevitable"
iain says, "wf kill dubya"
floyd | maga_dogg votes to lynch maga_dogg.
jwalrus says, "hee hee"
gunther says, "yay"
schep says (to iain), "hee"
floyd | maga_dogg retracts a vote for maga_dogg.
miseri says, "heh. says maga_dogg."
jwalrus asks, "who'd kill bren?"
gunther says (to jwalrus), "you! no, wait."
maga_dogg says (to miseri), "i'm domestic."
iain says, "jwalrus and gunther seem to be the most talkative."
miseri asks (of iain), "meaning?"
iain says, "but i don't like to lynch people just for that."
</rob> find release from your cares. have a good time.
iain says (to miseri), "well, nothing."
gunther says, "ha"
iain asks, "who hasn't said anything yet?"
schep says, "i said 'hee'"
storme says, "me, but i'm too busy laughing"
brenbarn laughs.
schep says, "but i'll add that i'm a villager, since i've been quiet."
storme says (to bran), "shh, you, you're dead"
maga_dogg says (to brenbarn), "stop that."
storme says, "er, bren"
maga_dogg says, "well, i'm a villager, as if saying that counts for anything at this stage"
gunther says, "ok, in that case i can't help it... i'm the seer, and schep is a wolf."
iain says, "it's just random meaningless noises caused by gas escaping from his bloated corpse."
iain says, "we shouldn't have left him out in the sun."
floyd | iain votes to lynch gunther.
schep says, "gunther is the devil, because i'm the wolfsbane carrier."
schep says (to gunther), "darn you."
gunther says (to schep), "sure you are, suddenly"
maga_dogg says, "hmm... it'd be foolish for gunther to lie at this stage, since he'd just get lynched next round"
gunther says (to schep), "a second ago you were a villager"
miseri says, "true... but it still seems a bit, well, precipitate."
schep says, "of course i was."
floyd | marvin votes to lynch schep.
maga_dogg says, "on the other hand, this kind of madcap bid for glory would be very gunther-consistent"
iain says (to gunther), "you're making things up here."
jwalrus asks (of gunther), "why can't you help it?"
gunther asks (of iain), "?"
iain recaps to see what schep said.
gunther says (to jwalrus), "because nothing is happening"
schep asks (of gunther), "and just why did you wait so long to tell everyone?"
marvin says (to iain), "he said he was a villager."
jwalrus says, "ok, schep's story seems consistent, at least"
maga_dogg says, "hmm. in the best-case scenario for wolfgunther, schep'd be innocent and die, and then gunther would get lynched straight after. not a winning proposition."
gunther says, "seer doesn't usually reveal himself this early, for obvious reasons"
iain asks (of gunther), "so why are you, if you are the seer?"
schep says, "gunther wouldn't get lynched because there's no reason to lynch the devil."
miseri says, "unless seer knows wolf."
jwalrus says (to maga), "but if gunther were devil, he might be willing to risk his neck to get schep lynched"
miseri says (to schep), "unless gunther's a wolf making a madcap wild accusation."
floyd | marvin retracts a vote for schep.
jwalrus says, "and we'd be foolish to lynch him if we thought he was the devil nyway"
schep says (to miseri), "possible."
iain asks, "there are two wolves and a devil, right?"
maga_dogg says, "yes"
iain says, "they may be trying to kill schep because he's the seer or baner."
schep says, "but he did manage to pick the baner, which is pretty lucky for a random wolf."
iain says, "and he said he was the baner."
gunther says, "i am so not a wolf"
jwalrus says, "if we believe schep, gunther as devil seems most likely, since the odds are against gunther's random target being baner"
maga_dogg says (to schep), "but not for a devil"
schep says, "right"
miseri says (to schep), "unlucky, i'd say."
iain asks, "can the devil and the wolves talk to each other?"
iain says, "i assume yes."
marvin says (to iain), "he said he was a baner *because* gunther said he was a wolf or something."
jwalrus says, "no"
schep says (to miseri), "heh, yeah"
gunther says, "why believe schep? he's been changing his story"
schep says (to iain), "no"
